"id","category_id","category_l2_id","code","name","created_time","updated_time","average_in_head","is_guaranteed","is_master","cold_hot_type","remark","price","weight"
"10405006",后段,肉类,"10405006",后腿肌肉,,2025-05-09 17:40:18.480,12.0,false,false,,,0,0
"10619002",后段,骨类,"10619002",带肉尾叉骨,,2025-05-09 17:40:51.370,2.0,false,false,,,0,900
"10201005",前段,硬段,"10201005",带蹄前段,,2025-05-09 16:19:05.273,24.0,false,false,,BOM里面没有，最接近的是带皮带蹄前段,0,0
"01JTAMY0NVSDEMK2GHQ36FD9VJ",,骨类,"010104000",有颈通排,2025-05-03 16:41:00.000,2025-05-09 17:23:04.963,0.0,false,true,,,0,0
"10701001",其他,下料类,"10701001",脊膘皮,,2025-05-09 17:50:27.226,0.0,false,false,,BOM 中没有,0,0
"01JTAMY0NSW4TFVJDERSV8Q20N",,硬段,"010103000",后段,2025-05-03 16:41:00.000,2025-05-09 17:51:09.788,0.0,false,true,,,0,0
"10603001",后段,骨类,"10603001",带肉后腿骨,,2025-05-09 17:55:27.451,2.0,false,false,,,0,0
"10503005",其他,其他类,"10503005",脊膘B,,2025-05-09 17:55:18.964,0.0,false,false,,BOM 中没有，最接近的是带皮脊膘,0,0
"10409001",其他,肉类,"10409001",精碎肉,,2025-05-09 16:41:54.624,1.3,false,false,,,0,650
"10502008",其他,其他类,"10502008",软裆膘,,2025-05-09 17:34:12.037,0.0,false,false,,,0,700
"10610008",前段,"","10610008",无颈前排（冷鲜）,,,2.0,false,false,COLD,BOM 里面没有,0,0
"10406004",后段,肉类,"10406004",小里脊,,2025-05-09 17:55:09.193,0.7,false,false,,,0,640
"10202015",中段,"","10202015",带皮中段(精修冷鲜),,,18.0,false,false,COLD,BOM 中是通路类别，而非正式的产品，这里是正式产品,0,0
"10612005",中段,"","10612005",带头去尾通排(冷鲜),,,7.0,false,false,COLD,BOM 中是通路类别，而非正式的产品，这里是正式产品,0,0
"10402035",前段,肉类,"10402035",带脂前腿肌肉,,2025-05-09 17:54:53.500,6.0,false,false,,BOM 里面没有，最接近的是前腿肌肉,0,0
"10201010",前段,"","10201010",去肘去前排前段,,2025-05-04 02:09:12.657,20.0,false,true,,,0,300
"10202006",中段,"","10202006",带皮中段,,,20.0,false,false,,BOM 中是通路类别，而非正式的产品，这里是正式产品,0,0
"10301006",副产,副产类,"10301006",猪头（热鲜）,,2025-05-09 17:48:31.695,5.0,false,false,,BOM 中没有,0,0
"01JTQ0A4XHY6EYTJ5Y4B90T5B6",,硬段,"10401020-00",带皮前上肉（通）,2025-05-08 11:51:30.482,2025-05-08 11:51:30.482,0.0,false,false,,,0,0
"01JTQ94YZSQSYKBJZW6NRW93TW",,硬段,"10201002-00",带⽪软前段（通）,2025-05-08 14:25:00.000,2025-05-08 14:35:26.921,0.0,false,true,,,0,0
"01JTPY4SWKA35JFKE21D2V53EE",,其他类,"10201007-00",去⽪软前段（通）,2025-05-08 11:13:00.000,2025-05-08 15:07:01.789,0.0,false,false,,,0,500
"10405035",后段,肉类,"10405035",大块精肉（后）,,2025-05-10 14:15:37.553,4.0,false,false,,BOM 中没有,0,0
"01JTSW98TRHXCMSGY3JK5W08DK",,硬段,"10201002-001",带⽪软前段（通1）,2025-05-09 14:38:50.712,2025-05-09 14:38:50.712,0.0,false,false,,,0,0
"01JTSWNNV1V3H014MVF5ZA249F",,硬段,"10201002-002",带⽪软前段（通2）,2025-05-09 14:45:37.249,2025-05-09 14:45:37.249,0.0,false,false,,,0,0
"01JTSX6A7X8KMS6JDX1MRENWYQ",,硬段,"10201002-yjfg",细分割,2025-05-09 14:54:42.430,2025-05-09 14:54:42.430,0.0,false,false,,,0,0
"01JTSYAK9HK74RC494VBDMJF2Y",,硬段,"10202005-yj",带皮软中段（从保）,2025-05-09 15:14:31.346,2025-05-09 15:14:31.346,0.0,false,false,,,0,0
"01JTQFQC8FPGVC8VWDSXDHCSSD",,硬段,"10201002-qfg",细分割通路（前段）,2025-05-08 16:20:52.623,2025-05-08 16:20:52.623,0.0,false,false,,,0,0
"01JTQGV2Q2XAACY2H7VPGN99D3",,硬段,"10201002-zfg",细分割,2025-05-08 16:40:22.499,2025-05-08 16:41:56.332,0.0,false,false,,,0,100
"01JTQH0C4W0H2N38GMSZ2N1DGN",,硬段,"10202007-00",去大排肌肉中段（通）,2025-05-08 16:43:15.996,2025-05-08 16:43:54.292,0.0,false,true,,,0,300
"01JTQHFV8CC64SNDMW9N2YDW1Y",,硬段,"10503002-00",脊膘(通),2025-05-08 16:51:42.988,2025-05-08 16:51:42.988,0.0,false,false,,,0,0
"01JTQHPJ9J9XM4RTKXRQZVP502",,硬段,"10202005-00",带皮软中段（通）,2025-05-08 16:55:23.186,2025-05-08 16:56:03.376,0.0,false,true,,,0,200
"01JTQHXG9TRTXKWRCQ15GMQYDG",,硬段,"10704002-00",带⽪五花⾁（通）,2025-05-08 16:59:10.523,2025-05-08 17:04:06.760,0.0,false,false,,,0,900
"01JTQJA1VGAQP492H9D1CFKGTS",,硬段,"10704066",带⽪五花⾁B,2025-05-08 17:06:01.713,2025-05-08 17:06:01.713,0.0,false,false,,,0,0
"01JTQHCXBTPM1V6P6ZBJ03ECHQ",,其他类,"10503007",脊膘A,2025-05-08 16:50:00.000,2025-05-10 14:33:48.169,0.0,false,false,,,0,0
"01JTSA0PQY0ERMJXJGEM6AAQXJ",,硬段,"10203005-00",去肘后段（通）,2025-05-09 09:19:35.679,2025-05-09 09:19:35.679,0.0,false,true,,,0,0
"01JTSBAHYJKMZT2JP8C4NW9QXS",,硬段,"10203002-00",带皮软后段（通）,2025-05-09 09:42:27.026,2025-05-09 09:42:27.026,0.0,false,true,,,0,0
"01JTPYK0NQPQHRHTHS0M8WHWQA",,软段,"010201002-00",带⽪软前M(主) - 63,2025-05-08 11:21:00.000,2025-05-10 14:34:11.371,0.0,false,false,,,0,900
"01JTSYWKWZ4FXCHBM19D2WPX6K",,硬段,"10202005-yjxfg",细分割（通2）,2025-05-09 15:24:00.000,2025-05-09 15:33:35.213,0.0,false,false,,,0,0
"01JTSZF68KXWXDAPDE3T3Y6HJY",,硬段,"10201002-rzd",软中段（从保）,2025-05-09 15:34:30.419,2025-05-09 15:34:30.419,0.0,false,false,,,0,0
"01JTSHVC24V120P6B1Y2DC8D86",,硬段,"10203004-00",去皮软后段（通）,2025-05-09 11:36:00.000,2025-05-09 11:36:47.875,0.0,false,false,,,0,0
"01JTSJEM73M4JR3346HW6EQA3W",,硬段,"10203012-00",带皮软后段M（通）,2025-05-09 11:47:00.452,2025-05-09 11:47:00.452,0.0,false,true,,,0,0
"01JTSJHWQ3EP42F0NSJSTSV2C2",,硬段,"10401021-00",带皮后上肉（通）,2025-05-09 11:48:47.460,2025-05-09 11:48:47.460,0.0,false,true,,,0,0
"10704013",中段,肉类,"10704013",带皮五花肉A,,2025-05-09 16:35:36.397,9.0,false,true,,,0,0
"10610003",中段,骨类,"10610003",无颈通排,,2025-05-09 17:00:59.083,6.0,false,false,,BOM 里面没有,0,0
"10307001",副产,其他类,"10307001",精短尾,,2025-05-09 17:04:36.063,0.1,false,false,,BOM 中没有,0,0
"10302001",副产,副产类,"10302001",大肠,,2025-05-09 17:12:29.862,0.0,false,false,,BOM 中没有,0,0
"10704020",中段,肉类,"10704020",带皮五花肉条,,2025-05-09 17:16:26.818,0.8,false,false,,,0,0
"10614015",前段,骨类,"10614015",带肉扇骨（冷鲜）,,2025-05-09 17:21:25.760,0.8,false,false,COLD,,0,0
"10609001",前段,骨类,"10609001",颈骨,,2025-05-09 17:32:59.464,0.8,false,false,,,0,200
"10401021",后段,肉类,"10401021",带皮后上肉,,2025-05-09 17:33:21.780,15.0,false,false,,BOM 中是通路类别，而非正式的产品，这里是正式产品,0,950
"10403005",中段,肉类,"10403005",带皮大排肌肉,,2025-05-09 17:33:34.963,4.5,false,false,,BOM 里面没有，最接近的是大排肌肉,0,0
"10616001",后段,骨类,"10616001",带肉叉骨,,2025-05-09 17:41:22.392,0.6,false,false,,BOM 中没有,0,0
"10704058",中段,肉类,"10704058",带皮五花肉T,,2025-05-09 17:46:36.611,6.0,false,true,,,0,0
"01JTQMFDKV4XYNCC5SATP8Z1D4",,肉类,"10401025",带脂颈背肌肉,2025-05-08 17:43:00.000,2025-05-10 14:37:48.130,0.0,false,false,,,0,700
"10405036",后段,硬段,"10405036",带皮精后腿(去尾叉骨),,2025-05-14 09:37:53.761,9.0,false,false,,BOM 中没有,0,0
"01JVHMKG4RD9FMP932HZHEZT5V",,硬段,test1,test1,2025-05-18 20:06:23.641,2025-05-18 20:06:23.641,,false,false,HOT,,0,0
